source	replies	label
This Is How People In China Are Riding Escalators After A Horrific Accident http://t.co/Ns54c2tpdY http://t.co/6OCgtqGTwc	@Eva_lamont_x that's so strange<EOS>@BuzzFeedNews @BuzzFeed I don't blame them, I'd be doing the same thing!!!<EOS>RT @BuzzFeedNews: This Is How People In China Are Riding Escalators After A Horrific Accident http://t.co/64iBsHbzJw http://t.co/cMC5YqkXrn<EOS>@BuzzFeedNews @shushuglad 丢脸的事情又被你们知道了，真希望日本人来管理中国的电梯。<EOS>@BuzzFeedNews @gsmancho jajajajajjaja<EOS>RT @BuzzFeedNews: This Is How People In China Are Riding Escalators After A Horrific Accident http://t.co/p6ag07TRWi http://t.co/MktYlgNUBb<EOS>@BuzzFeedNews @galileo44 哈..哈..哈...<EOS>	rumour
	nonrumour
#SABCNews Fact of the Day:  5G mobile networks DO NOT spread COVID-19. #COVID19inSA #Day20ofLockdown #SABCNews https://t.co/3BuUdhGJ0I	@SABCNews Don't forget to inform thes masses about the amount of radiation it gives off &amp; the effects it'll have on their health, we'll then come back for conspiracy theories.<EOS>@Fish_Lwazi @SABCNews Where is the peer reviewed(!) evidence that it does?<EOS>@SABCNews Iam sure 5G has its own health issues but there is no link between 5G and covid 19<EOS>@SABCNews I don’t know how true this is,but if it is,How then do we curb the spread if departments are telling people to go back to work??<EOS>@SABCNews 5G doesn't cause Covid-19 and those who say 5G causes radiation there's two type ionising and non-ionising the bad one is the ionising and the one that's "good" is the non-ionising of which frequencies are measured by means of Electromagnetic Spectrum. https://t.co/2O5t1TT0kE<EOS>@SABCNews Big scepticism towards any "facts" the media puts forward. With so many contradicting "facts" flowing around, best to accept the safest version, especially if these "facts" are not substantiated by trustworthy sources.<EOS>@SABCNews If 5G is faster and it spreads this virus does this mean 4G and the rest was then slowly making us sick? Dont they all have to some extend emit radiation.<EOS>@SABCNews You'll really need to give us hard evidence to prove what you are saying<EOS>@SABCNews Of course. But we will keep destroying them because they are harmful!<EOS>@SABCNews Why don't you update us about Covid 19 stats that is killing folks now, we will worry about 5G later, am sure you don't have scientific evidence for the sort of harm 5G has either...<EOS>@SABCNews Is it right for a general worker at a private hospital to be sent to a public hospital when they have signs of contracting covid-19 which they picked up at work?<EOS>@SABCNews Facts mus be followrd up with proof.. Or else ont say it's a fact<EOS>@SABCNews Fokkof<EOS>@SABCNews Yall have been instructed to tell us that<EOS>@SABCNews Lol, did people belief the lie that they are linked 🤣 https://t.co/z5m6k92KAt<EOS>@SABCNews If it did in some countries why here in South Africa won't? Don't tell us but show us the research evidence report.<EOS>@SABCNews Evidence has shown this will need massive job to #deschool some disciples to this #theory! Otherwise it's also a #looming disaster in the shelves!<EOS>@SABCNews https://t.co/nxbjWQUONR   Please watch this link. This ad by Microsoft was since removed and replaced with a different version after huge negative backlash<EOS>@SABCNews Which fool can believe such bull. 5G is technology and COVID19 is a virus<EOS>@SABCNews 😅😅😅😅😅😅 wow! Do u know https://t.co/ydR3pLkh1D ?????<EOS>@SABCNews @davidicke Come see this🤣🤣🤣<EOS>@SABCNews Tell us wat it does then! We need to knw its disadvantages too...u are a public broadcaster sont just make a statement without explaining<EOS>@SABCNews I just hope the don't put the towers on school properties like the current ones... I would like to see the CEO bit the company climb the tower while its on to prove to the world it is safe!<EOS>@SABCNews Now that you've said it I have more reasons to believe it does<EOS>@SABCNews It does kill bees though 🤷‍♀️ Just saying<EOS>@SABCNews There is NO conclusive evidence<EOS>@SABCNews Why should we donate for covid 19 with our airtime to telkom... When telkom is the only big telecommunications and network installer in the country ,are we finding the 5G installation with our airtime in the name of covid19..?<EOS>@SABCNews Then why are birds Dying when they stand on the towers of 5G? U<EOS>@SABCNews Who said it does?Or you guys know something we don't?<EOS>@SABCNews Leave us alone, we have more to worry about than 5G, Tsek<EOS>@SABCNews #Day20ofLockdown,#PaySAExpressStaff SA Express staff still waking up to this harsh reality of not being paid during COVID-19,No food, No Essentials, some facing eviction, Please SA retweet to make Gov pay Sax Salaries<EOS>@SABCNews Y nd what exactly is a 5g nd y their busy wit it in this difficulties course we only want the vaccine that wil help our people only<EOS>@SABCNews Even if 5G is the problem they won’t tell us because there’s big money to be made out of it.<EOS>@SABCNews Why haven't anyone talked about it. Just posting a poster about 5G won't convince the people that 5G is save.  Please get experts on board like:  1)5G expert 2) Health expert 3) law expert on technologies that causes health risks.  Just poor journalism.<EOS>@SABCNews Only people spread the virus<EOS>@SABCNews FLU Like symptoms from 5G... the issues no one knows dont make conclusions... here is what science (not the China) says...  #Day19ofLockdown #LockdownHouseParty #CoronavirusPandemic #cipc   https://t.co/RX0kYjGJEI<EOS>@SABCNews Anyway is true it doesn’t spread it but it cause it<EOS>@SABCNews Yeah, but they destroy human health! #5GKILLS<EOS>@SABCNews Hey wen admin how do you know? 👀😂<EOS>@SABCNews Then explain this:https://t.co/IrUtuIrSMe In china<EOS>@SABCNews It's true 5G do not spread Covad-19, but, it's a source behind man suffering today.     For the world's growth and radical change there is always sacrifices.  So please tell on how are we going to use now Africa resources to develop our land and our people &amp; industrialize Africa?<EOS>@SABCNews This has been a Topic from 2019 and you @SABCNews you are only paying interest now? Hoekom nou?🤔<EOS>@SABCNews Ie⁴<EOS>@SABCNews So 5G networks neither transmit any radiation as well????....this sounds like the quality of lessons we have been receiving through SABC platforms.<EOS>@SABCNews We know you are paid to say that but guess what, where there’s a smoke there’s fire.<EOS>@SABCNews All governments throughout the world don’t know the cause of this covid-19. Then why are they quick to criticize those who says 5G is the cause?<EOS>@SABCNews How can you find a cure not knowing the cause? The most dangerous thing to the world is CAPITALISM because capitalism doesn’t care about life only money<EOS>@SABCNews 🤣 what pressurized sabc to focus on conspiracy? You guys need to stick to your lane #makingnews and leave conspiracy alone,  the virus is created to depopulate the human race as people are saying this is part of the population control plan? Are you willing to comment on that to?<EOS>@SABCNews https://t.co/m4U09VJWOg<EOS>@SABCNews Proof please. I will be watching on 404<EOS>@SABCNews Reading the comments with dismay, people actually believe that 5G spread/cause COVID19. Ignorance &amp; stupidity should be classified as a disease 🤞🏾 https://t.co/JgQaY2mdFI<EOS>@SABCNews If 5g is not a prblm y America destroyed it y Chinese was destroying it y u wana make yo self rich with a blood of poor people mxm<EOS>	nonrumour
@MyNameIsMatt12 @jaketapper You are 1/2 correct thousand already infected  which means mortality rate is provably lower than the seasonal flu.  This fear is insane and ignorant.     Don’t reply just wait and see.  COVID-19 is just like the flu.	There are at least 4 coronavirus cases in the US that are not travel-related, officials say  https://t.co/VKLgqaT9OQ<EOS>@jaketapper 11 new cases in San Antonio Texas. Let’s face it, there are thousands of cases in the United States right now that we are not even aware of. This is going to get really bad really fast.<EOS>@Jay63684198 @jaketapper You’re ignorant. I hope you don’t have any loved ones that are in the 15 to 18% mortality rate, which is anyone over the age of 80.  This is nowhere near equivalent to the flu.  It’s worse.<EOS>@MyNameIsMatt12 @jaketapper Board certified Pulmonary and sleep medicine. The elderly account for 70 to 90% of influenza deaths. Please stop repeating/spreading panic you do not understand what you are talking about.<EOS>	rumour
@timeguide @ozm Yeah. Agree on the philosophy side - but I meant to ask what do think of the study results and the random unintended gene changes? What do these results mean for the practicality (and time lines) of editing?	This does not bode well for the prospect of gene-edited babies. https://t.co/XprYWzYEIc<EOS>@ozm @timeguide - I trust your opinion on this one?<EOS>	nonrumour
Lego letter from the 1970s still offers a powerful message to parents 40 years later http://t.co/6QEyNwAivc http://t.co/Kd5i3qKhlf	@Independent @queenofthestow pity Lego is slowly becoming very gendered.<EOS>@Independent pity they mainly sell kits now, to allow unimaginative re-creation of branded stuff<EOS>@Independent Wow...It seems, we are really in future now... Delivery drones by an Australian company... http://t.co/Pn9xtlann7<EOS>@Independent but it's been proven that little girls gravitate towards family things and little boys towards action stuff.<EOS>@Independent to many bis poke #expensive sets now not allowing children to use imagination. @LEGO_Group<EOS>@Independent I'd say the poor alignment in the text says it all. Doubt it's genuine.<EOS>.@TeachESL @Independent Proved? By, you know, science? Links please...<EOS>@Independent That looks to me like a sensible message to all children, the kind of message that is infrequently communicated nowadays<EOS>@Independent Lego lives on my brother. my daughter and my Grandson all enjoyed it thro the generations.<EOS>@Independent Can't see my little lad wanting to assemble this!! http://t.co/heKMthz3WE<EOS>@Independent But Lego makes all into marketed kits and themes. Ni imagination needed.<EOS>@Independent Obviously faked. Even says 'Printed in Germany' on the bottom, a country that didn't exist at the time.<EOS>.@Independent @140elect either way, if you step on those things you'd prefer death.<EOS>@Independent<EOS>@Independent @EmanuelCrisian I LOVE THIS. Xxx<EOS>@Independent @EyesWatchin I, like most young boys, mostly built Lego dicks.<EOS>Times may change but the truth of this Lego letter from the 1970s never has in 40 years http://t.co/5BIoKOortH @5x5x5create via @Independent<EOS>@Independent @lysdeschamps le genre de message à faire passer à la manif pour tous ... Sans illusions<EOS>@TeachESL @Independent [citation needed].<EOS>“@Independent:Lego letter from the 1970s still offers a powerful message http://t.co/8Yi0hR7Kfr"@neha_aks @alok_bhatt http://t.co/IeGW5dwXGr<EOS>@Independent so why the latest 'pink' lego for girls!?<EOS>@Independent clearly fake. Employ someone to fact check yo.<EOS>@Independent @mambo_ZW I think Minecraft gives same opportunities, now, as Lego...electronically<EOS>	nonrumour
Are hand dryers effective in killing the new coronavirus? Source: @WHO https://t.co/o7Pv5VNmyv	No. Hand dryers are not effective in killing the 2019-nCoV. To protect yourself against the new coronavirus, you should clean your hands with an alcohol-based hand rub or wash them with soap and water. Once clean, dry them thoroughly by using paper towels or a warm air dryer.<EOS>	nonrumour
🚨Are antibiotics effective in preventing and treating the new coronavirus?🚨  No, antibiotics do not work against viruses, only bacteria.  #Covid19 #mythbusters @WHO https://t.co/nVfvHdQha8	🚨Can eating garlic help prevent infection with the new coronavirus?🚨  There is no evidence from the current outbreak that eating garlic has protected people from the new coronavirus.  #Covid19 #mythbusters @WHO https://t.co/dpJyLLXIuK<EOS>🚨Does the new coronavirus affect older people, or are younger people also susceptible?🚨  People of all ages can be infected by the new coronavirus (2019-nCoV).  #Covid19 #mythbusters @WHO https://t.co/gghWyCErX5<EOS>🚨Are there any specific medicines to prevent or treat the new coronavirus?🚨  To date, there is no specific medicine recommended to prevent or treat the new coronavirus (2019-nCoV).  #Covid19 #mythbusters @WHO https://t.co/4RaIxWdBOs<EOS>	nonrumour
R.I.P Roger Rodas the man who died with Paul Walker that everybody forgot about..  #RIPPaulWalker  #RIPRogerRodas http://t.co/2iG8VLzpHa	@LiamOfficiial yeah, alot of people die these days. If he wasn't famous nobody would notice<EOS>@LiamOfficiial @NinjaWhaaaat so this is the guy that was driving??? t(• •t)!!!!!<EOS>@LiamOfficiial yes....we need to remember that there were two lives lost in that crash!!!!!!<EOS>“@LiamOfficiial: R.I.P Roger Rodas the man who died with Paul Walker that everybody forgot about. #RIPRogerRodas http://t.co/AX1ZumEMYn” sad<EOS>@LiamOfficiial not me<EOS>@LiamOfficiial Thank you for posting!<EOS>	nonrumour
FBI probing alleged audio of Michael Brown shooting http://t.co/48UQqZTOXG http://t.co/g3p15YZGCM	@DWinSTL shameful at best...what you are doing. There is no honor in that. None.<EOS>@ozpktoker @NBCNews Headphones, and a microphone would have picked up the recording, altering the sound.<EOS>@ozpktoker cnn reported the guy was on Skype "dirty" talking to a female..which is why the guy wants to remain anonymous<EOS>@DWinSTL @SuzyBlueLady @Maliheh_ @jeffrom @YouDiedTrying Suzy: https://t.co/vGo5m8wfP0<EOS>@AudreyGleske you lying racist. He PAID!!! ITS ON TAPE!!!<EOS>@NBCNews My Lord! So sadd!<EOS>@YouDiedTrying @Maliheh_ @NBCNews Why would #MikeBrown run from the cop and the turn around and charge him? Makes no sense.<EOS>@jlangdale @NBCNews wow! he really wanted to make sure he was dead! #overkill<EOS>@NBCNews Holder will get it changed to fit his and Obama's  agenda<EOS>@NBCNews: How I wish it will bring back the boy to life.<EOS>@NBCNews @ShaunKing<EOS>.@NBCNews #FalmouthToday #blog about unbridled #sexabuse of #Maine children by #police http://t.co/bgzP7lWTV3 http://t.co/DULmh2u5ol<EOS>@Maliheh_ @SuzyBlueLady @YouDiedTrying @NBCNews so ironic. You are trying to say the cop is racist while you itself are being racist. #irony<EOS>@NBCNews I would swear the robotic voice in that audio makes me think the Obama's FBI created this audio.<EOS>@NBCNews Amazing someone can sit an talk through gun shots an tone not change a bit as if Oh thats just gun shots.....<EOS>@NBCNews George Zimmerman and Officer Wilson did society a favor Hoping the very best to both of them<EOS>“@NBCNews: FBI probing alleged audio of Michael Brown shooting http://t.co/XAohxeo7Kq http://t.co/fYDisSroPt” #Ferguson<EOS>@jones012018 @NBCNews  How do you know it was the store owner in that video? Nowhere was it said by police that was the store owner.<EOS>@Maliheh_ @SuzyBlueLady DISE - SURRENDER (FERGUSON POLICE DISS) A MUST SEE!!! CLICK HERE http://t.co/ouAM5V5dCv #RIPMIKEBROWN #FERGUSON<EOS>@NBCNews Anyone hear anyone saying don't shoot, I don't have a gun?  Nooo? Didn't freaking think so!  Let it be real then explain that.<EOS>	nonrumour
What care should be available during pregnancy and childbirth?  All pregnant women, including those with confirmed or suspected COVID-19 infections, have the right to high quality care before, during and after childbirth. This includes antenatal, newborn, postnatal...	@RWJUH Please explain how your recent decision to not allow significant others to into Labor and Delivery is an advisable decision, especially considering that it defies guidelines set by the World Health Organization?   https://t.co/eQpCGDtoQX<EOS>..., , intrapartum... and mental health care.<EOS>A safe and positive childbirth experience includes:  Being treated with respect and dignity; ▶️Having a companion of choice present during delivery;◀️ Clear communication by maternity staff; Appropriate pain relief strategies:...<EOS>...Mobility in labour where possible, and birth position of choice.  If COVID-19 is suspected or confirmed, health workers should take all appropriate precautions to reduce risks of infection to themselves and others, including hand hygiene...<EOS>... and appropriate use of protective clothing like gloves, gown and medical mask.<EOS>	nonrumour
Design Thinking, AI ...good.  What is 'Physical Activity Trainer?'🤔 https://t.co/k0lZyEj9Bl	@aparanjape Physical Activity Trainer is another name for Sports Teacher, or Physical Education (PE) Teacher or Physical Training (PT) Teacher. A document from the National Skill Development Corporation about it - https://t.co/uZWhum0ava.<EOS>@prayagverma Yes..how is that a course? It is a role.<EOS>@aparanjape As schools lack skills in DT &amp; AI they will look for outside support for curriculum. Hoping for Acchhe Din for us in K12 space :)<EOS>@aparanjape Design thinking is just talk.I studied during my MBA expecting I wud learn to build something but they don't teach u any technical skill (software or hardware) .They just talk and at the end u will not be able to do much except drawing something on paper and using Post-It notes.<EOS>@vedic_guru @aparanjape Probably not taught by the right person or right tools used. Prototyping and User Journeys are critical aspects of Design thinking<EOS>@aparanjape P T cha drill master 😉<EOS>	nonrumour
Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/kuZwz7MDpv	“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/iwbDnGB8sN” just as bloody well! I'm invested now!<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/FiM6WDqFrx” @92Rissa<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/iVuVhJbmPK” thank goodness he's the perfect grey!<EOS>@D3annaLorraine “@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/uVBl29i2fh”<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/5Rc9UFEuBs” @ReeceHoneysett<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/fRnwmVYYb7” oh thank goodness 😅🙌❤️<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/xViG6WTuQX” @CassiePatters17<EOS>@eonline @clairelectra @Ashleyabad09 i really do hope it isn't true tho<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/fxCMjuBRZt” @Glitzychickzy<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/PKoUIFiEJS” @emmeremy!!!!!<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/KCA2DkVdmR” @osanchezzz<EOS>@eonline 👆 i told ya @ericaahealy<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/5yq05iRpW6” this makes me feel some type of way 😭😭<EOS>@JOANLAALAA "@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/sDbth9TKAm”<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/bhqTtdhd3Q” @mackinah_lee16<EOS>@eonline ... is he leaving ??<EOS>@eonline who cares<EOS>@laurengrindey thank god<EOS>@jahnnabanana @eonline thank heavens.<EOS>@SRuhle only 2 shades to Jamie 💎<EOS>Wow- I thought this said Jamie Dimon! “@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/PTbVo1B0Q8”<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/N9A0RONcFy” @Jordyn_Glenn told yaaaas😏<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/ugHepPxdWp” 🙏<EOS>@isabellemax @eonline 😍😍 bae knows he can't leave me hangin<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/HSfWW0jGbo” @Kimberlyy33 thank god!<EOS>@eonline It's a bit too late to recast anyway.<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/VPHcTNfeTC” GOD BLESS DORNAN<EOS>@CindyyLou96 @celinelove29 @eonline @edgardo0496 lmfao 😂😂😭<EOS>@Katt_Daddyy112 I knew the rumors were false! #love 😍<EOS>@eonline let him go...he was Not Christian Grey<EOS>@eonline Thank God👌<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/efItgwJR4r” @skfl009<EOS>@stayseeeeeee @eonline no way!<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/tIjuoRhR2h” @maddibrown3<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/o6u7s9S3vn” @katkeogh12<EOS>@SRuhle @eonline lol...<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/3fZNQhAzHU” yeah that's not an option 😊<EOS>@Celinelove29 @eonline @edgardo0496 @jess_818 he ain't leaving hoe relax. They're going to make another porno for you .<EOS>“@eonline: Jamie Dornan leaving Fifty Shades of Grey?! Yeah, not so much: http://t.co/ny01z0H2fh” @coleslaw152<EOS>	rumour
Taking a hot bath does not prevent the new coronavirus disease https://t.co/aRL0qqoR9X	Cold weather and snow CANNOT kill the new coronavirus. https://t.co/Hyg6zgskvm<EOS>The new coronavirus CANNOT be transmitted through mosquito bites. https://t.co/s7OxsxtpJm<EOS>Are hand dryers effective in killing the new coronavirus? https://t.co/Gny7MTE7MM<EOS>Can an ultraviolet disinfection lamp kill the new coronavirus? https://t.co/CXC3Arul1R<EOS>How effective are thermal scanners in detecting people infected with the new coronavirus? https://t.co/PxbQ4904yB<EOS>Can spraying alcohol or chlorine all over your body kill the new coronavirus? https://t.co/J0Nfr5qkji<EOS>	nonrumour
	nonrumour
	rumour
How does COVID-19 spread? Currently, these are the following ways: recent travel to an affected country, a cough or sneeze from a person who is sick, and close contact with a person who is sick. Get the most up-to-date information at https://t.co/CZ3HJIsEXf and @BMore_Healthy https://t.co/EEsMdyJwna	Traveled to a high-risk country recently? Stay home for 14 days and call a doctor if you have a fever and/or cough. To learn more and get the most up-to-date information, go to https://t.co/CZ3HJIsEXf and follow @BMore_Healthy during this time. https://t.co/4alLDtCn2Y<EOS>Planning to host an event? Learn more about the City guidance on events during this time at  https://t.co/CZ3HJIsEXf https://t.co/6ISwRFVP0i<EOS>"If people use the system in an improper way...they could exacerbate our system.” -Fire Chief Niles R. Ford. Use 211 for #COVID19 related calls. If you must dial 911, provide as much accurate information as possible. Get the most up-to-date information at https://t.co/CZ3HJIsEXf https://t.co/V6zRz0RWP1<EOS>	nonrumour
Can I catch COVID-19 from my pet?  Take our #COVID19 quiz to see how well versed you are on the facts. We’ll be revealing the answers tomorrow!   #OandoCares #COVID19NIGERIA	#OandoCares #COVID19NIGERIA #Covid19 https://t.co/lQPQVMtUJR<EOS>	nonrumour
@DatBoopGirl *What are the symptoms of COVID-19?*  The most common symptoms of COVID-19 are: 🤒 fever 😴 tiredness 💨 dry cough  Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea.   These symptoms are usually mild and begin gradually.	Ok... Esto está empezando a preocuparme.  Hace 1 hora empezó a dolerme la cabeza y ahorita siento dolor en extremidades.  Tos no tengo y la garganta no me duele.  ¿Qué me falta del check list?<EOS>@Mister_E_Oz Thank you.<EOS>	nonrumour
Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/8xBGtmAJM6 http://t.co/5MmYaxNtSs	@buttergolfer @washingtonpost what the...!<EOS>@sharapovasthigh oh dear god<EOS>Nu går även rådjuren med i talibanerna RT @washingtonpost: Fanged deer pops up in Afghanistan http://t.co/iAgBKunZxZ http://t.co/I4Xl2GYnMk<EOS>@washingtonpost    Perfect animal for that place !!   Someone hurry up with that memory eraser thing ...<EOS>@IWPCHI @washingtonpost lol! Its not donkey, look at her eyes...its a deer!<EOS>@washingtonpost Get the best  rated rings here!! Check em out here --&gt; http://t.co/9Rnv6JgIX5<EOS>@washingtonpost This is too coincidental to publish on a Halloween day. I don't believe this article.<EOS>@washingtonpost @GayPatriot It is halloween after all<EOS>@washingtonpost #Very interesting!! :*<EOS>Holy crap! Vampire deer! MT @washingtonpost: Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/5iuEwQYfr2<EOS>@washingtonpost @STSTWO Think they could hire a better photoshopper? This picture is amateurish at best.<EOS>@washingtonpost @larryvaughn10 Its a vampire deer on Halloween.<EOS>@washingtonpost @worldwidenieuws wow THATs news!<EOS>@washingtonpost @GayPatriot that things fricken awesome<EOS>“@washingtonpost: Fanged deer... http://t.co/mwAC2HilfQ http://t.co/6w9wnX70Fm” Little-known cousin of the Toothy Cow? @AndrewPeterson<EOS>@washingtonpost Kind of crazy!<EOS>@washingtonpost @olsen_lynn  Now I'd call that a GREAT Halloween stunt!<EOS>“@washingtonpost: Fanged deer pops up in Afghanistan ... http://t.co/MO06XlE2qK http://t.co/aIMSgkX04V” #TrueBlood?!<EOS>@washingtonpost ISIS will probably behead it<EOS>@washingtonpost it's probably just missing it's annual dental filing..poor thing..WHAT! BURN IT...IT'S SATAN'S DEER SPAWN<EOS>@washingtonpost I LOVE DEVIL DEER!<EOS>@washingtonpost nature can be resilient<EOS>@washingtonpost I saw something like this on an episode of 'Hannibal'. This one is a little more... how do you say... "REAL!!!"<EOS>Vamp “@washingtonpost: Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/qBKiQYI0uW http://t.co/Pg2SZg66P6”<EOS>“@washingtonpost: Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/Tj5uOJRMzq http://t.co/HRtbGm1vye”<EOS>What "@washingtonpost: Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/15tjRZCbTv http://t.co/7LSrxBzflJ”<EOS>@washingtonpost I thought this was a Halloween-themed joke at first. But I'm glad I was wrong!<EOS>@washingtonpost cute<EOS>@washingtonpost Halaween Geschenk  http ://tinyurl.com/k4leucl<EOS>10 pm kicker in case @WTVAFNF goes light, @cfordwtva? MT @washingtonpost Fanged deer pops up http://t.co/2HoUdOrZbU http://t.co/wQYUmVntv5<EOS>@washingtonpost @pchpaman scary Halloween article!<EOS>@washingtonpost - this is incredible!<EOS>@washingtonpost finally deer hunting with better odds for the deer<EOS>@washingtonpost Its Halloween!!<EOS>@washingtonpost such a beautiful creature.<EOS>Kill it with fire “@washingtonpost: Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/JucUaQaMp6”<EOS>“@washingtonpost: Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/latjRAK2w7 http://t.co/oUhKHBLFob” 😦<EOS>@washingtonpost @Miss_Cybernaut That's not a deer... and it's in D.C. not in Afghanistan! It's the true face of the Democratic Party Donkey!<EOS>Smart deer to hide from humans for so long @washingtonpost<EOS>DEERFANGS! @washingtonpost: Fanged deer pops up in Afghanistan, 60 years after last appearance http://t.co/VTC3Y8WQoJ http://t.co/vTlX7jX9Hh<EOS>@washingtonpost Surprizing. Antelope with large ears, such as S. African bushbuck or duiker like forest habitats. Forests in Afganistan?<EOS>@washingtonpost A musk see!<EOS>@washingtonpost @RyanMaue Sweet!<EOS>@washingtonpost @evolutionarypsy even the humble deer dresses up as vampire for halloween<EOS>This is real. MT "@washingtonpost: Fanged deer pops up in Afghanistan,60 yrs after last seen http://t.co/wixGhjuT9V http://t.co/HrxPIlHekU”<EOS>Terrifying MT @washingtonpost Fanged deer pops up in Afghanistan, 60 yrs after last appearance http://t.co/rncdcvuoNw http://t.co/Y7qxZYWuhI<EOS>“@washingtonpost: Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/XgZpbEI2nT http://t.co/e1WBCA8xpI” 👀👀👀<EOS>“@washingtonpost: Fanged deer pops up 60 years after its last appearance http://t.co/fJ1gYjXdnh http://t.co/BreH8I2lpg” #FANGGANG<EOS>@washingtonpost Where was that deer all this time? #deerghazi<EOS>@washingtonpost well thats terrifying<EOS>@washingtonpost  Looks like even mother nature is growing sick of Islamic idiots and has given the deer tools to fight them with. ....<EOS>@washingtonpost that's not real<EOS>@washingtonpost Wow, that's creepy.<EOS>What the Christ. MT @washingtonpost: Fanged deer pops up in Afghanistan http://t.co/smxRhDv02i http://t.co/CUIxN3I57E”<EOS>@washingtonpost @Theremina Could discovery of a living thylacine be far behind. http://t.co/nrmBGHj2Wr<EOS>RT @washingtonpost: Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/o5SpiWk3zL http://t.co/SpSQVzGUyt<EOS>@washingtonpost Is this photo shop?<EOS>“@washingtonpost: Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/s97vEcbtlX http://t.co/gW8JNhJhWI”<EOS>@washingtonpost @mlsmith617 Whoa.<EOS>@washingtonpost This is good news!<EOS>“@washingtonpost: Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/DtHscPeYkx http://t.co/4rYd2vUbxH”<EOS>“@washingtonpost: Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/f49vtcQumq http://t.co/Nh2Obfs53o” wha?<EOS>Tf “@washingtonpost: Fanged deer pops up in Afghanistan, 60 years after its last appearance http://t.co/dxdTzxIlWB http://t.co/Ind27xKAad”<EOS>@washingtonpost Thats not creepy looking or anything #sarcasm<EOS>@washingtonpost BambiVamp<EOS>@washingtonpost @GayPatriot LOL! How to ward off the evil fanged deer???? Headlights silly!!!<EOS>@washingtonpost  Be afraid,be very afraid<EOS>@washingtonpost The dawn of the Dracula deer.<EOS>@washingtonpost kill him &amp; everything  he touched. He's evil<EOS>	nonrumour
